InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542088,22138,BAKING SET 9 PIECE RETROSPOT,5,08/12/2011 00:00,4.95,12898.0,United Kingdom
539585,22138,BAKING SET 9 PIECE RETROSPOT,9,11/04/2011 00:00,4.95,12645.0,United Kingdom
539337,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,10/30/2011 00:00,2.55,12626.0,United Kingdom
537096,22633,HAND WARMER UNION JACK,1,03/18/2011 00:00,1.85,12429.0,United Kingdom
544633,22752,SET 7 BABUSHKA NESTING BOXES,28,08/04/2011 00:00,7.65,13111.0,United Kingdom
543138,22961,JAM MAKING SET PRINTED,14,08/01/2011 00:00,4.25,12992.0,United Kingdom
543718,22633,HAND WARMER UNION JACK,8,08/12/2011 00:00,1.85,13063.0,United Kingdom
543691,22138,BAKING SET 9 PIECE RETROSPOT,24,04/03/2011 00:00,4.95,13061.0,Portugal
540726,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,03/04/2011 00:00,2.55,12768.0,United Kingdom
541896,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/02/2011 00:00,3.75,12880.0,United Kingdom
540081,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,08/28/2011 00:00,2.55,12714.0,United Kingdom
540108,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,11/12/2011 00:00,2.55,12720.0,United Kingdom
538887,22138,BAKING SET 9 PIECE RETROSPOT,6,02/26/2011 00:00,4.95,12591.0,United Kingdom
542361,71053,WHITE METAL LANTERN,5,08/24/2011 00:00,3.39,12927.0,United Kingdom
545221,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,10/09/2011 00:00,2.55,13142.0,France
543581,22752,SET 7 BABUSHKA NESTING BOXES,3,03/07/2011 00:00,7.65,13038.0,United Kingdom
539968,22633,HAND WARMER UNION JACK,18,06/20/2011 00:00,1.85,12697.0,United Kingdom
545083,22961,JAM MAKING SET PRINTED,7,11/18/2011 00:00,4.25,13140.0,United Kingdom
539520,84029E,RED WOOLLY HOTTIE WHITE HEART,12,06/05/2011 00:00,3.75,12635.0,Germany
537036,21754,HOME BUILDING BLOCK WORD,15,11/03/2011 00:00,5.95,12420.0,United Kingdom
